company_id,company_name,coderepo_qid,coderepo_name,coderepo_stack_name,coderepo_role_type,question_library_source,question_author_company_name,coderepo_task_qid,coderepo_task_name,coderepo_task_type_adj,usage_type,attempt_id,attempt_start_date,product_rating
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1860447,Code Review: Reorder Products,code_review,interview,7712301,2026-01-21,
103487,ServiceNow,1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,1753763,Code Review: Filter Liked Products,code_review,interview,7712301,2026-01-21,
103487,ServiceNow,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1841762,Bugfix: Apartment Sort,bugfix,interview,7712301,2026-01-21,
103487,ServiceNow,1730396,Courses App Flask React Code Repo,fremp,fullstack,library,HackerRank,1861498,Bugfix: Course Badge Award Backend,bugfix,interview,7086282,2025-12-16,
103487,ServiceNow,1783584,Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,1777730,Bugfix: Hide CVV,bugfix,interview,7712301,2026-01-21,
103487,ServiceNow,1783584,Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,1782737,Code Review: Redeem Reward Points,code_review,interview,7712301,2026-01-21,
103487,ServiceNow,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1904167,"Feature: Implement filter, search and sort",feature,interview,6962139,2025-09-03,
103487,ServiceNow,1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,1894242,Feature: Add Note Functionality,feature,interview,7246327,2025-10-24,
115708,Morgan Stanley,2395446,MovieDB Code Repo (Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,2395447,Bug Fix: Home Page Recommendations,bugfix,interview,7935605,2026-02-24,
116373,Castleton Commodities International,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,82355685,2026-01-08,
116373,Castleton Commodities International,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,82530494,2026-01-15,
116373,Castleton Commodities International,1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,2229104,Feature: Draft Bookings,feature,screen,81880985,2025-12-16,
