,,,,,,,,,,
coderepo_qid,coderepo_name,coderepo_stack_name,coderepo_role_type,question_library_source,question_author_company_name,cnt_all_attempts_interviews,cnt_all_screen_attempts,cnt_all_interviews,last_attempt_interview,candidate_dli
1720430,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,1932,1883,49,2026-02-28,3.93
1783584,Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,664,532,132,2026-02-28,3.88
1894902,Note Manager Coderepo React (Typescript),React.JS (Node.JS 18.15),frontend,library,Problem Setters,95,0,95,2026-02-24,3.66
1730396,Courses App Flask React Code Repo,fremp,fullstack,library,HackerRank,88,2,86,2026-02-27,3.33
1730406,HackerWallet App Django React Code Repo,rad,fullstack,library,HackerRank,68,17,51,2026-02-25,4.63
2265531,MovieDB Code Repo (MERN),MERN,fullstack,library,HackerRank,44,11,33,2026-02-27,4.47
2187938,[Wayfair] JAM Banking App Code Repo,"SpringBoot, Angular and MongoDB",fullstack,custom,Wayfair,42,0,42,2026-02-11,4.66
1719359,E-commerce Code Repo (MERN),MERN,fullstack,library,HackerRank,29,3,26,2026-02-26,5
2216190,Uber: Banking App,"SpringBoot, Angular and MongoDB",fullstack,custom,Uber,29,0,29,2026-02-27,3.2
2182633,Banking Backend Application,.NET Core,backend,custom,DraftKings Inc,28,0,28,2026-02-18,
2220009,Banking Backend Application - Java,Spring Boot,backend,custom,DraftKings Inc,17,0,17,2026-02-23,5
2139711,[BNY] Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,custom,BNY,17,0,17,2026-02-25,3.14
2189415,Banking Web Application - Frontend Coding Exercise,Node.JS,frontend,custom,DraftKings Inc,16,0,16,2026-01-23,
2395446,MovieDB Code Repo (Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,13,1,12,2026-02-27,4.5
2257509,Banking App Go,"Go, React and MySQL",fullstack,custom,Uber,8,0,8,2026-01-28,3.33
2321439,Melodio Code Repo (MERN),MERN,fullstack,library,HackerRank,7,4,3,2026-02-24,4.5
2318704,Label Studio CodeRepo,"Django, Angular and MongoDB",fullstack,custom,Nuro,4,0,4,2026-01-09,
2150356,React Flask Courses App,"Django, Angular and MongoDB",fullstack,custom,Yelp,2,1,1,2025-10-07,
2351560,Box Shogi Application - Python,Django,backend,custom,Nuro,2,0,2,2026-01-23,
2395350,MovieDB Code Repo (Django),"Django, Angular and MongoDB",fullstack,library,HackerRank,2,0,2,2026-02-17,
2417191,Workflow Code Repo (MERN),MERN,fullstack,library,HackerRank,1,0,1,2026-02-27,
1931169,Coderepo Composite Market,Java 17 with Gradle,backend,custom,BNP Paribas,1,0,1,2025-12-09,
2429661,Quickbites Code Repo (MERN),MERN,fullstack,library,HackerRank,0,0,0,,
2324672,[INTERNAL TEST ONLY] Frontend Pairing Exercise,"Django, Angular and MongoDB",fullstack,custom,Deliveroo,0,0,0,,
2325972,Banking Backend Application,.NET Core,backend,custom,Hackerrank Dev,0,0,0,,
2387342,change test,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2424581,Invite Management Service (TypeScript),Node.JS,fullstack,custom,Hackerrank Dev,0,0,0,,
2424522,Invite Management Service (Go),Go,fullstack,custom,Hackerrank Dev,0,0,0,,
2423624,Invite Management Service (Python),Django,fullstack,custom,Hackerrank Dev,0,0,0,,
2321671,[INTERNAL TEST ONLY] Frontend Pairing Exercise,React.JS,frontend,custom,Deliveroo,0,0,0,,
2422430,[discarded][Draft] [25th Feb 2026] Project (Full-stack Developer) - Django,Django,fullstack,custom,Hackerrank Dev,0,0,0,,
2192396,V2 - Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,0,0,0,,
2407452,Some Node JS repo,Node.JS,fullstack,custom,Hackerrank Dev,0,0,0,,
2396105,First MERN CodeRepo,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2245242,E-commerce Code Repo (MERN),MERN,fullstack,custom,HackerRank,0,0,0,,
2019676,Incubator Backend (Java),PySpark,backend,custom,Hackerrank Dev,0,0,0,,
2225141,Travel App Code Repo (MERN),MERN,fullstack,library,HackerRank,0,0,0,,
2402323,Atlassian: Courses App Flask React Code Repo,fremp,fullstack,custom,Atlassian,0,0,0,,
2341747,Banking Backend Application - Java,Spring Boot,backend,custom,Hackerrank Dev,0,0,0,,
2401461,Atlassian: E-commerce Code Repo (MERN),MERN,fullstack,custom,Atlassian,0,0,0,,
2268232,Blog Platform Code Repo (React + Java Spring Boot),"SpringBoot, Angular and MongoDB",fullstack,custom,Hackerrank Dev,0,0,0,,
2429729,Workflow Code Repo (Django),"Django, Angular and MongoDB",fullstack,library,HackerRank,0,0,0,,
1911569,Incubator Backend (Java),PySpark,backend,custom,Duolingo,0,0,0,,
1956381,Order Matching Engine,C++,backend,custom,Citadel,0,0,0,,
2387764,something,MEAN,fullstack,custom,HackerRank,0,0,0,,
1724126,E-commerce Code Repo (MEAN),MEAN,fullstack,library,Problem Setters,0,0,0,,
1775318,AI Orchestration: Implement Advanced Search Filters,mern,fullstack,custom,Hackerrank Dev,0,0,0,,
2315408,Label Studio CodeRepo,"Django, Angular and MongoDB",fullstack,custom,Hackerrank Dev,0,0,0,,
2019673,Incubator Backend (Java),PySpark,backend,custom,Hackerrank Dev,0,0,0,,
2429726,Workflow Code Repo (SpringBoot),"SpringBoot, Angular and MongoDB",fullstack,library,HackerRank,0,0,0,,
2424950,First Node CodeRepo,Node.JS,fullstack,custom,Hackerrank Dev,0,0,0,,
2117133,Build-test-review React,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2232019,Banking Backend Application,.NET Core,backend,custom,HackerRank,0,0,0,,
2390578,Implement User Search and Filtering System Skjdfkdl,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2424578,Invite Management Service (Node.js),Node.JS,fullstack,custom,Hackerrank Dev,0,0,0,,
2205764,Courses App Flask React Code Repo [Interviews],"Django, Angular and MongoDB",fullstack,custom,Yelp,0,0,0,,
2407533,Some Node JS Code Repo,Node.JS,fullstack,custom,Hackerrank Dev,0,0,0,,
2237577,Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,custom,Hackerrank Dev,0,0,0,,
2404679,Atlassian: Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,custom,Atlassian,0,0,0,,
2424587,Invite Management Service (Java),Java with Gradle,fullstack,custom,Hackerrank Dev,0,0,0,,
2412677,MERN REPO 21,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2089564,Incubator Backend (Java),PySpark,backend,custom,HackerRank,0,0,0,,
2433290,Chat Application - MERN,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2319816,Banking Backend Application,.NET Core,backend,custom,Hackerrank Dev,0,0,0,,
2406532,MERN Repository with sample tasks,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2268231,Blog Platform Code Repo (MERN),MERN,fullstack,custom,Interviewstreet,0,0,0,,
2284204,[Wayfair] JAM Banking App Code Repo,"SpringBoot, Angular and MongoDB",fullstack,custom,HackerRank,0,0,0,,
2387769,Something,MEAN,fullstack,custom,Hackerrank Dev,0,0,0,,
2137777,[BNY Mellon] Banking App Code Repo (JAM),"SpringBoot, Angular and MongoDB",fullstack,custom,Hackerrank Dev,0,0,0,,
2089415,Incubator Backend (Python),"Django, Angular and MongoDB",fullstack,custom,Hackerrank Dev,0,0,0,,
2140202,E-commerce: Product Search & Currency Switching,MERN,fullstack,library,Problem Setters,0,0,0,,
2186884,V2 - Travel App Code Repo (MERN),MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
1817447,Mercado Custom repo,MERN,fullstack,custom,Hackerrank Dev,0,0,0,,
2089563,Incubator Backend (Python),"Django, Angular and MongoDB",fullstack,custom,HackerRank,0,0,0,,
1911579,Duolingo Java Latest,PySpark,backend,custom,Hackerrank Dev,0,0,0,,
2019675,Incubator Backend (Java),PySpark,backend,custom,Hackerrank Dev,0,0,0,,
2268233,Blog Platform Code Repo (React + Django),"Django, Angular and MongoDB",fullstack,custom,Hackerrank Dev,0,0,0,,
2232022,Banking Backend Application,.NET Core,backend,custom,Hackerrank Dev,0,0,0,,
2402335,Atlassian: Travel App Code Repo (MERN),MERN,fullstack,custom,Atlassian,0,0,0,,
2245244,E-commerce Code Repo (MERN),MERN,fullstack,custom,HackerRank,0,0,0,,
2167977,Travel App: Booking Flexibility & EMI Feature Review,MERN,fullstack,library,Problem Setters,0,0,0,,
1883821,Incubator Backend (Python),"Django, Angular and MongoDB",fullstack,custom,Duolingo,0,0,0,,
2398598,Some Code Repo,Node.JS,fullstack,custom,Hackerrank Dev,0,0,0,,
2351101,Box Shogi Application - Python,Django,backend,custom,Hackerrank Dev,0,0,0,,
