company_id,company_name,interview_started_date,interview_id,scorecard_id,scorecard_title,section_position,section_title,section_field_position,section_field_title,section_field_type
4301,Airbnb,2025-09-03,6966646,49,Software_Engineer_Contractor Scorecard,0,Section 1,0,Java (Advanced),rating
4301,Airbnb,2025-12-15,7557090,49,Software_Engineer_Contractor Scorecard,0,Section 1,0,Java (Advanced),rating
4301,Airbnb,2025-12-16,7559703,49,Software_Engineer_Contractor Scorecard,0,Section 1,0,Java (Advanced),rating
4301,Airbnb,2025-12-18,7585092,49,Software_Engineer_Contractor Scorecard,0,Section 1,0,Java (Advanced),rating
4301,Airbnb,2025-12-19,7587789,49,Software_Engineer_Contractor Scorecard,0,Section 1,0,Java (Advanced),rating
4301,Airbnb,2026-01-06,7627569,49,Software_Engineer_Contractor Scorecard,0,Section 1,0,Java (Advanced),rating
7625,Xero,2025-09-01,6830313,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6830313,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6830313,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-01,6830313,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-01,6830313,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6846000,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6846000,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6846000,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-01,6846000,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-01,6846000,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6846127,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6846127,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6846127,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-01,6846127,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-01,6846127,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6865980,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6865980,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6865980,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,2,Core Programming Proficiency,rating
7625,Xero,2025-09-01,6865980,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,3,Data Structures and Algorithms,rating
7625,Xero,2025-09-01,6865980,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,4,Testing and Debugging,rating
7625,Xero,2025-09-01,6865980,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,5,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6865983,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6865983,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6865983,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-01,6865983,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-01,6865983,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6866097,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6866097,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6866097,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,2,Core Programming Proficiency,rating
7625,Xero,2025-09-01,6866097,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,3,Data Structures and Algorithms,rating
7625,Xero,2025-09-01,6866097,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,4,Testing and Debugging,rating
7625,Xero,2025-09-01,6866097,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,5,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6866462,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6866462,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6866462,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,2,Core Programming Proficiency,rating
7625,Xero,2025-09-01,6866462,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,3,Data Structures and Algorithms,rating
7625,Xero,2025-09-01,6866462,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,4,Testing and Debugging,rating
7625,Xero,2025-09-01,6866462,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,5,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6885923,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6885923,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6885923,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-01,6885923,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-01,6885923,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6934760,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6934760,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6934760,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-01,6934760,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-01,6934760,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-01,6934789,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-01,6934789,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-01,6934789,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,2,Core Programming Proficiency,rating
7625,Xero,2025-09-01,6934789,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,3,Data Structures and Algorithms,rating
7625,Xero,2025-09-01,6934789,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,4,Testing and Debugging,rating
7625,Xero,2025-09-01,6934789,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,5,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-02,6866472,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-02,6866472,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-02,6866472,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-02,6866472,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-02,6866472,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-02,6907113,5512,Software Engineer - System Design Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-02,6907113,5512,Software Engineer - System Design Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-02,6907113,5512,Software Engineer - System Design Marking Rubric,0,Section 1,2,System Design,rating
7625,Xero,2025-09-02,6907113,5512,Software Engineer - System Design Marking Rubric,0,Section 1,3,Data Management and Distributed Systems,rating
7625,Xero,2025-09-02,6907113,5512,Software Engineer - System Design Marking Rubric,0,Section 1,4,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-02,6934607,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-02,6934607,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
7625,Xero,2025-09-02,6934607,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,2,Core Programming Proficiency,rating
7625,Xero,2025-09-02,6934607,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,3,Data Structures and Algorithms,rating
7625,Xero,2025-09-02,6934607,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,4,Testing and Debugging,rating
7625,Xero,2025-09-02,6934607,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,5,Software Engineering Principles & Non-Functional Requirements,rating
7625,Xero,2025-09-02,6934767,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,0,How to Use This Rubric,text
7625,Xero,2025-09-02,6934767,5511,Software Engineer - Coding Competencies Marking Rubric,0,Section 1,1,Technical Curiosity ,rating
