week_start,week_label,candidate_n,candidate_avg,interviewer_n,interviewer_avg
2025-09-22,Sep W4 '25,1,1.0,1,2.0
2025-10-06,Oct W1 '25,,,1,5.0
2025-11-03,Nov W1 '25,3,5.0,1,5.0
2025-11-10,Nov W2 '25,2,3.0,1,4.0
2025-11-17,Nov W3 '25,3,4.33,,
2025-11-24,Nov W4 '25,1,5.0,,
2025-12-01,Dec W1 '25,3,3.67,,
2025-12-08,Dec W2 '25,5,4.0,,
2025-12-15,Dec W3 '25,1,5.0,,
2026-01-05,Jan W1 '26,3,3.0,1,4.0
2026-01-12,Jan W2 '26,4,4.0,4,3.25
2026-01-19,Jan W3 '26,4,4.0,1,3.0
2026-01-26,Jan W4 '26,7,3.14,,
2026-02-02,Feb W1 '26,9,4.0,2,2.5
2026-02-09,Feb W2 '26,1,5.0,1,2.0
2026-02-16,Feb W3 '26,14,4.29,1,4.0
2026-02-23,Feb W4 '26,17,3.76,4,3.5
